Palabra,Frecuencia,Archivo
urgentemente,1,CP13 UNFCC
lograr,7,CP13 UNFCC
objetivo,22,CP13 UNFCC
fundamental,4,CP13 UNFCC
pleno,2,CP13 UNFCC
conformidad,26,CP13 UNFCC
principio,6,CP13 UNFCC
compromiso,5,CP13 UNFCC
reafirmar,1,CP13 UNFCC
económico,9,CP13 UNFCC
social,6,CP13 UNFCC
erradicación,1,CP13 UNFCC
pobreza,2,CP13 UNFCC
prioridad,8,CP13 UNFCC
responder,2,CP13 UNFCC
conclusión,5,CP13 UNFCC
calentamiento,1,CP13 UNFCC
inequívoco,1,CP13 UNFCC
demora,3,CP13 UNFCC
limito,1,CP13 UNFCC
significativamente,1,CP13 UNFCC
posibilidad,6,CP13 UNFCC
alcanzar,3,CP13 UNFCC
nivel,12,CP13 UNFCC
estabilización,1,CP13 UNFCC
bajo,3,CP13 UNFCC
aumentar,9,CP13 UNFCC
riesgo,6,CP13 UNFCC
agravir,1,CP13 UNFCC
impacto,1,CP13 UNFCC
señalar,4,CP13 UNFCC
requerir,3,CP13 UNFCC
fuerte,1,CP13 UNFCC
destacar,2,CP13 UNFCC
urgencia,1,CP13 UNFCC
hacer,29,CP13 UNFCC
frente,10,CP13 UNFCC
indicar,7,CP13 UNFCC
decidir,22,CP13 UNFCC
iniciar,1,CP13 UNFCC
proceso,22,CP13 UNFCC
global,4,CP13 UNFCC
permitir,5,CP13 UNFCC
eficaz,12,CP13 UNFCC
sostenido,1,CP13 UNFCC
mediante,21,CP13 UNFCC
cooperación,33,CP13 UNFCC
largo,10,CP13 UNFCC
plazo,14,CP13 UNFCC
comience,1,CP13 UNFCC
ahora,1,CP13 UNFCC
prolongar,1,CP13 UNFCC
allá,2,CP13 UNFCC
fin,48,CP13 UNFCC
llegar,5,CP13 UNFCC
acordado,1,CP13 UNFCC
adoptar,7,CP13 UNFCC
abordar,3,CP13 UNFCC
cosa,16,CP13 UNFCC
siguiente,22,CP13 UNFCC
aspecto,4,CP13 UNFCC
visión,1,CP13 UNFCC
común,4,CP13 UNFCC
incluir,26,CP13 UNFCC
disposición,16,CP13 UNFCC
particular,44,CP13 UNFCC
responsabilidad,3,CP13 UNFCC
diferenciado,3,CP13 UNFCC
respectivo,2,CP13 UNFCC
capacidad,32,CP13 UNFCC
contar,47,CP13 UNFCC
condición,17,CP13 UNFCC
factor,4,CP13 UNFCC
pertinente,49,CP13 UNFCC
b,45,CP13 UNFCC
intensificación,4,CP13 UNFCC
labor,52,CP13 UNFCC
internacional,49,CP13 UNFCC
relativo,26,CP13 UNFCC
mitigación,16,CP13 UNFCC
incluido,52,CP13 UNFCC
i,77,CP13 UNFCC
mensurabl,1,CP13 UNFCC
notificabl,1,CP13 UNFCC
verificable,3,CP13 UNFCC
adecuado,11,CP13 UNFCC
cada,13,CP13 UNFCC
cuantificado,1,CP13 UNFCC
limitación,1,CP13 UNFCC
desarrollado,6,CP13 UNFCC
asegurar,4,CP13 UNFCC
comparabilidad,1,CP13 UNFCC
diferencia,3,CP13 UNFCC
circunstancia,11,CP13 UNFCC
ii,17,CP13 UNFCC
contexto,5,CP13 UNFCC
sostenible,18,CP13 UNFCC
apoyado,2,CP13 UNFCC
facilitada,1,CP13 UNFCC
financiación,36,CP13 UNFCC
fomento,17,CP13 UNFCC
manera,7,CP13 UNFCC
mensurable,1,CP13 UNFCC
notificable,1,CP13 UNFCC
contribución,32,CP13 UNFCC
iii,8,CP13 UNFCC
resumir,1,CP13 UNFCC
técnico,31,CP13 UNFCC
pág,2,CP13 UNFCC
cap,2,CP13 UNFCC
enfoque,14,CP13 UNFCC
político,4,CP13 UNFCC
incentivo,10,CP13 UNFCC
positivo,6,CP13 UNFCC
cuestión,21,CP13 UNFCC
degradación,18,CP13 UNFCC
bosques,24,CP13 UNFCC
conservación,2,CP13 UNFCC
gestión,5,CP13 UNFCC
aumento,7,CP13 UNFCC
reserva,10,CP13 UNFCC
forestal,5,CP13 UNFCC
carbono,9,CP13 UNFCC
iv,6,CP13 UNFCC
sectorial,4,CP13 UNFCC
sector,29,CP13 UNFCC
específico,9,CP13 UNFCC
párrafo,81,CP13 UNFCC
c,34,CP13 UNFCC
v,5,CP13 UNFCC
diverso,2,CP13 UNFCC
oportunidad,7,CP13 UNFCC
utilizar,11,CP13 UNFCC
mercado,3,CP13 UNFCC
eficacia,19,CP13 UNFCC
costo,13,CP13 UNFCC
promoverla,1,CP13 UNFCC
presente,41,CP13 UNFCC
diferente,3,CP13 UNFCC
ver,3,CP13 UNFCC
consecuencia,2,CP13 UNFCC
respuesta,10,CP13 UNFCC
vii,2,CP13 UNFCC
forma,16,CP13 UNFCC
fortalecer,6,CP13 UNFCC
catalizadoro,2,CP13 UNFCC
respecta,5,CP13 UNFCC
alentar,14,CP13 UNFCC
multilateral,13,CP13 UNFCC
público,26,CP13 UNFCC
privado,30,CP13 UNFCC
sociedad,3,CP13 UNFCC
civil,3,CP13 UNFCC
aprovechar,4,CP13 UNFCC
sinergia,8,CP13 UNFCC
apoyar,19,CP13 UNFCC
coherente,3,CP13 UNFCC
integrado,6,CP13 UNFCC
adaptación,32,CP13 UNFCC
urgente,5,CP13 UNFCC
vulnerabilidad,4,CP13 UNFCC
establecimiento,5,CP13 UNFCC
necesidad,59,CP13 UNFCC
estrategia,8,CP13 UNFCC
integración,2,CP13 UNFCC
planificación,1,CP13 UNFCC
proyecto,27,CP13 UNFCC
incentivar,2,CP13 UNFCC
favorecer,3,CP13 UNFCC
resistente,1,CP13 UNFCC
reducir,12,CP13 UNFCC
apremiant,1,CP13 UNFCC
inmediato,4,CP13 UNFCC
particularmente,4,CP13 UNFCC
vulnerable,6,CP13 UNFCC
efecto,18,CP13 UNFCC
adverso,5,CP13 UNFCC
especialmente,4,CP13 UNFCC
pequeño,11,CP13 UNFCC
insular,8,CP13 UNFCC
además,12,CP13 UNFCC
áfrica,3,CP13 UNFCC
afectado,1,CP13 UNFCC
sequía,1,CP13 UNFCC
desertificación,2,CP13 UNFCC
inundación,1,CP13 UNFCC
repartición,1,CP13 UNFCC
seguro,1,CP13 UNFCC
desastre,2,CP13 UNFCC
pérdida,1,CP13 UNFCC
daño,1,CP13 UNFCC
asociado,5,CP13 UNFCC
repercusión,3,CP13 UNFCC
diversificación,1,CP13 UNFCC
resiliencia,3,CP13 UNFCC
d,33,CP13 UNFCC
apoyo,51,CP13 UNFCC
mejorado,1,CP13 UNFCC
suprimir,1,CP13 UNFCC
obstáculo,6,CP13 UNFCC
ampliación,1,CP13 UNFCC
proporcionar,13,CP13 UNFCC
objeto,8,CP13 UNFCC
promover,32,CP13 UNFCC
acceso,22,CP13 UNFCC
ecológicamente,10,CP13 UNFCC
racional,14,CP13 UNFCC
asequible,2,CP13 UNFCC
acelerar,6,CP13 UNFCC
despliegue,14,CP13 UNFCC
difusión,14,CP13 UNFCC
investigación,12,CP13 UNFCC
existente,10,CP13 UNFCC
innovadora,4,CP13 UNFCC
solución,2,CP13 UNFCC
beneficien,1,CP13 UNFCC
instrumento,11,CP13 UNFCC
destinado,7,CP13 UNFCC
recurso,38,CP13 UNFCC
inversión,15,CP13 UNFCC
mayor,8,CP13 UNFCC
previsible,2,CP13 UNFCC
provisión,1,CP13 UNFCC
oficial,3,CP13 UNFCC
favor,2,CP13 UNFCC
innovador,7,CP13 UNFCC
ayudar,10,CP13 UNFCC
sufragar,9,CP13 UNFCC
base,19,CP13 UNFCC
política,7,CP13 UNFCC
movilización,1,CP13 UNFCC
facilitación,1,CP13 UNFCC
opción,8,CP13 UNFCC
inocua,4,CP13 UNFCC
fomentar,10,CP13 UNFCC
evaluar,14,CP13 UNFCC
determinar,11,CP13 UNFCC
realizar,16,CP13 UNFCC
establecido,5,CP13 UNFCC
denominado,2,CP13 UNFCC
especial,10,CP13 UNFCC
concluir,2,CP13 UNFCC
presentar,14,CP13 UNFCC
resultado,32,CP13 UNFCC
aprobación,3,CP13 UNFCC
convenir,14,CP13 UNFCC
comenzar,1,CP13 UNFCC
programar,1,CP13 UNFCC
frecuencia,1,CP13 UNFCC
posible,21,CP13 UNFCC
necesario,16,CP13 UNFCC
llevar,12,CP13 UNFCC
término,2,CP13 UNFCC
conjuntamente,5,CP13 UNFCC
arreglo,11,CP13 UNFCC
poder,52,CP13 UNFCC
taller,12,CP13 UNFCC
demá,1,CP13 UNFCC
precisen,1,CP13 UNFCC
primero,5,CP13 UNFCC
celebrar,5,CP13 UNFCC
tardar,13,CP13 UNFCC
abril,1,CP13 UNFCC
cargo,7,CP13 UNFCC
presidente,4,CP13 UNFCC
vicepresidente,3,CP13 UNFCC
ocupado,1,CP13 UNFCC
miembro,20,CP13 UNFCC
anexo,88,CP13 UNFCC
alternar,2,CP13 UNFCC
anualmente,3,CP13 UNFCC
dicho,5,CP13 UNFCC
tomar,19,CP13 UNFCC
nota,14,CP13 UNFCC
figurar,23,CP13 UNFCC
encarga,1,CP13 UNFCC
elaborar,7,CP13 UNFCC
invitar,29,CP13 UNFCC
febrero,3,CP13 UNFCC
opinión,9,CP13 UNFCC
elemento,10,CP13 UNFCC
mencionado,6,CP13 UNFCC
recopilado,1,CP13 UNFCC
examine,9,CP13 UNFCC
pedir,45,CP13 UNFCC
progreso,6,CP13 UNFCC
realizado,18,CP13 UNFCC
acuerdo,14,CP13 UNFCC
examinar,12,CP13 UNFCC
avance,8,CP13 UNFCC
basar,4,CP13 UNFCC
mejor,13,CP13 UNFCC
información,69,CP13 UNFCC
disponible,5,CP13 UNFCC
experiencia,18,CP13 UNFCC
kyoto,20,CP13 UNFCC
previsto,25,CP13 UNFCC
aportación,6,CP13 UNFCC
empresarial,1,CP13 UNFCC
comunidad,3,CP13 UNFCC
investigador,2,CP13 UNFCC
observar,9,CP13 UNFCC
organización,64,CP13 UNFCC
cantidad,2,CP13 UNFCC
considerable,1,CP13 UNFCC
participación,19,CP13 UNFCC
delegado,3,CP13 UNFCC
reúnar,2,CP13 UNFCC
prestar,11,CP13 UNFCC
servicio,20,CP13 UNFCC
conferencia,8,CP13 UNFCC
sustantivo,2,CP13 UNFCC
instar,9,CP13 UNFCC
encarecidamente,1,CP13 UNFCC
facilitar,24,CP13 UNFCC
fiduciario,14,CP13 UNFCC
suplementaria,6,CP13 UNFCC
brindir,1,CP13 UNFCC
especie,1,CP13 UNFCC
ejemplo,8,CP13 UNFCC
acoger,6,CP13 UNFCC
indicativo,5,CP13 UNFCC
marzoabril,1,CP13 UNFCC
junio,3,CP13 UNFCC
tercero,2,CP13 UNFCC
agostoseptiembrir,1,CP13 UNFCC
octavo,15,CP13 UNFCC
plenario,16,CP13 UNFCC
recordar,22,CP13 UNFCC
reconocer,2,CP13 UNFCC
antropógena,1,CP13 UNFCC
gas,9,CP13 UNFCC
invernadero,9,CP13 UNFCC
causa,4,CP13 UNFCC
deber,38,CP13 UNFCC
esfuerzo,8,CP13 UNFCC
mantener,5,CP13 UNFCC
conservar,1,CP13 UNFCC
consciente,10,CP13 UNFCC
complejidad,1,CP13 UNFCC
problema,3,CP13 UNFCC
múltiple,2,CP13 UNFCC
indirecto,2,CP13 UNFCC
utilidad,4,CP13 UNFCC
último,3,CP13 UNFCC
afirmar,1,CP13 UNFCC
significativo,6,CP13 UNFCC
preciso,2,CP13 UNFCC
estable,1,CP13 UNFCC
generar,1,CP13 UNFCC
beneficio,1,CP13 UNFCC
conexo,2,CP13 UNFCC
complementar,2,CP13 UNFCC
local,4,CP13 UNFCC
indígena,1,CP13 UNFCC
adoptir,1,CP13 UNFCC
seguir,24,CP13 UNFCC
curso,4,CP13 UNFCC
título,3,CP13 UNFCC
voluntario,4,CP13 UNFCC
alienta,11,CP13 UNFCC
prestir,4,CP13 UNFCC
asistencia,6,CP13 UNFCC
dato,8,CP13 UNFCC
estimación,5,CP13 UNFCC
vigilancia,3,CP13 UNFCC
atender,6,CP13 UNFCC
institucional,6,CP13 UNFCC
estimar,1,CP13 UNFCC
estudien,1,CP13 UNFCC
serie,6,CP13 UNFCC
plantear,2,CP13 UNFCC
emprendar,1,CP13 UNFCC
demostración,13,CP13 UNFCC
ampliar,4,CP13 UNFCC
así,16,CP13 UNFCC
ordenación,3,CP13 UNFCC
perjuicio,2,CP13 UNFCC
futuro,12,CP13 UNFCC
usar,1,CP13 UNFCC
guía,4,CP13 UNFCC
cabo,10,CP13 UNFCC
distinto,7,CP13 UNFCC
movilizar,3,CP13 UNFCC
iniciativa,39,CP13 UNFCC
relacionado,15,CP13 UNFCC
referencia,8,CP13 UNFCC
usen,1,CP13 UNFCC
directriz,14,CP13 UNFCC
reciente,4,CP13 UNFCC
comunicar,5,CP13 UNFCC
asimismo,4,CP13 UNFCC
invitado,1,CP13 UNFCC
aplicar,15,CP13 UNFCC
buena,5,CP13 UNFCC
práctica,11,CP13 UNFCC
uso,8,CP13 UNFCC
tierra,2,CP13 UNFCC
silvicultura,1,CP13 UNFCC
metodológica,3,CP13 UNFCC
encaminado,3,CP13 UNFCC
documento,26,CP13 UNFCC
comprender,5,CP13 UNFCC
cómo,1,CP13 UNFCC
resolver,2,CP13 UNFCC
pendiente,1,CP13 UNFCC
cubierto,1,CP13 UNFCC
incremental,5,CP13 UNFCC
debido,1,CP13 UNFCC
causado,1,CP13 UNFCC
subnacional,3,CP13 UNFCC
desplazamiento,2,CP13 UNFCC
relación,20,CP13 UNFCC
suprar,6,CP13 UNFCC
criterio,8,CP13 UNFCC
recopilar,1,CP13 UNFCC
misc,1,CP13 UNFCC
sujeción,3,CP13 UNFCC
disponibilidad,2,CP13 UNFCC
suplementario,2,CP13 UNFCC
organizar,6,CP13 UNFCC
señalada,7,CP13 UNFCC
apartado,6,CP13 UNFCC
anterior,5,CP13 UNFCC
prepare,9,CP13 UNFCC
momento,1,CP13 UNFCC
fcccsbsta,6,CP13 UNFCC
fcccsbstamisc,2,CP13 UNFCC
add,6,CP13 UNFCC
antecedente,1,CP13 UNFCC
elaborado,1,CP13 UNFCC
romar,1,CP13 UNFCC
italia,2,CP13 UNFCC
agosto,1,CP13 UNFCC
septiembre,1,CP13 UNFCC
formulación,2,CP13 UNFCC
planteamiento,2,CP13 UNFCC
metodológico,3,CP13 UNFCC
recomendación,26,CP13 UNFCC
competent,6,CP13 UNFCC
interesado,12,CP13 UNFCC
desplegado,1,CP13 UNFCC
correspondiente,4,CP13 UNFCC
crear,13,CP13 UNFCC
plataforma,3,CP13 UNFCC
web,4,CP13 UNFCC
obtener,2,CP13 UNFCC
presentado,5,CP13 UNFCC
prever,1,CP13 UNFCC
estudiar,7,CP13 UNFCC
descrita,3,CP13 UNFCC
acogida,2,CP13 UNFCC
ser,12,CP13 UNFCC
transparente,1,CP13 UNFCC
regularidad,1,CP13 UNFCC
recomendar,4,CP13 UNFCC
metodología,2,CP13 UNFCC
resultant,4,CP13 UNFCC
dentro,4,CP13 UNFCC
ámbito,4,CP13 UNFCC
utilizado,5,CP13 UNFCC
detectar,1,CP13 UNFCC
punto,3,CP13 UNFCC
pasado,1,CP13 UNFCC
constituir,3,CP13 UNFCC
paso,1,CP13 UNFCC
hacia,1,CP13 UNFCC
compatible,1,CP13 UNFCC
foro,4,CP13 UNFCC
lucha,2,CP13 UNFCC
convenio,1,CP13 UNFCC
diversidad,1,CP13 UNFCC
biológico,1,CP13 UNFCC
descripción,1,CP13 UNFCC
llevir,2,CP13 UNFCC
independiente,1,CP13 UNFCC
límite,2,CP13 UNFCC
cuyo,1,CP13 UNFCC
creación,5,CP13 UNFCC
encargar,1,CP13 UNFCC
capítulo,3,CP13 UNFCC
ulterior,3,CP13 UNFCC
aprobada,3,CP13 UNFCC
asamblear,6,CP13 UNFCC
decimonoveno,2,CP13 UNFCC
extraordinario,2,CP13 UNFCC
satisfacción,3,CP13 UNFCC
gett,20,CP13 UNFCC
logro,2,CP13 UNFCC
obtenido,1,CP13 UNFCC
adelante,2,CP13 UNFCC
puesto,4,CP13 UNFCC
práctico,7,CP13 UNFCC
abanico,2,CP13 UNFCC
importante,7,CP13 UNFCC
asociación,8,CP13 UNFCC
emprendido,1,CP13 UNFCC
contribuir,6,CP13 UNFCC
ambientalmente,4,CP13 UNFCC
través,2,CP13 UNFCC
conjunto,16,CP13 UNFCC
reconocimiento,3,CP13 UNFCC
forja,1,CP13 UNFCC
eficiencia,3,CP13 UNFCC
energético,2,CP13 UNFCC
energía,8,CP13 UNFCC
renovable,3,CP13 UNFCC
unión,2,CP13 UNFCC
europeo,2,CP13 UNFCC
banco,4,CP13 UNFCC
crucial,1,CP13 UNFCC
innovación,4,CP13 UNFCC
referida,1,CP13 UNFCC
subrayar,2,CP13 UNFCC
exigir,1,CP13 UNFCC
realización,16,CP13 UNFCC
amplio,1,CP13 UNFCC
generalizado,1,CP13 UNFCC
entorno,11,CP13 UNFCC
propicio,8,CP13 UNFCC
colaboración,17,CP13 UNFCC
estrecho,1,CP13 UNFCC
industrio,4,CP13 UNFCC
extenso,1,CP13 UNFCC
gamar,1,CP13 UNFCC
precisar,3,CP13 UNFCC
apropiado,7,CP13 UNFCC
constante,2,CP13 UNFCC
determinación,6,CP13 UNFCC
movilicir,2,CP13 UNFCC
cuantioso,2,CP13 UNFCC
complemento,1,CP13 UNFCC
resulte,2,CP13 UNFCC
importancia,1,CP13 UNFCC
indicador,6,CP13 UNFCC
controlar,2,CP13 UNFCC
cinco,6,CP13 UNFCC
tema,13,CP13 UNFCC
enumerado,3,CP13 UNFCC
estructura,2,CP13 UNFCC
definición,2,CP13 UNFCC
propósito,1,CP13 UNFCC
servir,5,CP13 UNFCC
sólido,2,CP13 UNFCC
aprobar,11,CP13 UNFCC
formular,12,CP13 UNFCC
complementarir,1,CP13 UNFCC
comprendida,2,CP13 UNFCC
reconstituir,1,CP13 UNFCC
año,13,CP13 UNFCC
inclusión,3,CP13 UNFCC
si,6,CP13 UNFCC
proceder,16,CP13 UNFCC
continuación,5,CP13 UNFCC
proporcionir,1,CP13 UNFCC
según,16,CP13 UNFCC
corresponda,2,CP13 UNFCC
efectivo,1,CP13 UNFCC
atención,4,CP13 UNFCC
referir,4,CP13 UNFCC
oportuno,2,CP13 UNFCC
elaboración,4,CP13 UNFCC
consulte,1,CP13 UNFCC
solicite,1,CP13 UNFCC
determinado,2,CP13 UNFCC
mencionada,4,CP13 UNFCC
coordinir,1,CP13 UNFCC
estrechamente,2,CP13 UNFCC
manual,4,CP13 UNFCC
conducting,1,CP13 UNFCC
technology,1,CP13 UNFCC
needs,1,CP13 UNFCC
assessments,1,CP13 UNFCC
for,1,CP13 UNFCC
climatir,1,CP13 UNFCC
changir,1,CP13 UNFCC
institución,19,CP13 UNFCC
economía,5,CP13 UNFCC
transición,4,CP13 UNFCC
prioritaria,2,CP13 UNFCC
facilite,2,CP13 UNFCC
detallar,1,CP13 UNFCC
entidad,6,CP13 UNFCC
encargado,4,CP13 UNFCC
funcionamiento,6,CP13 UNFCC
complementado,6,CP13 UNFCC
concreta,5,CP13 UNFCC
solicitado,1,CP13 UNFCC
lección,14,CP13 UNFCC
aprendido,14,CP13 UNFCC
séptimo,1,CP13 UNFCC
ultimada,1,CP13 UNFCC
deliberación,1,CP13 UNFCC
regional,26,CP13 UNFCC
entrañar,1,CP13 UNFCC
transversal,1,CP13 UNFCC
consiguiente,2,CP13 UNFCC
normalmente,2,CP13 UNFCC
clave,4,CP13 UNFCC
empresa,7,CP13 UNFCC
especialista,5,CP13 UNFCC
f,12,CP13 UNFCC
equilibrar,1,CP13 UNFCC
estratégico,7,CP13 UNFCC
operacional,7,CP13 UNFCC
modo,1,CP13 UNFCC
preparar,12,CP13 UNFCC
usuario,3,CP13 UNFCC
esfera,12,CP13 UNFCC
temático,4,CP13 UNFCC
actual,12,CP13 UNFCC
dispuesto,9,CP13 UNFCC
visto,2,CP13 UNFCC
debate,3,CP13 UNFCC
mejoramiento,1,CP13 UNFCC
cronológico,2,CP13 UNFCC
propuesto,1,CP13 UNFCC
abajo,1,CP13 UNFCC
mediano,4,CP13 UNFCC
saber,2,CP13 UNFCC
esperar,1,CP13 UNFCC
diálogo,7,CP13 UNFCC
establecer,7,CP13 UNFCC
convertido,1,CP13 UNFCC
orientado,1,CP13 UNFCC
obtención,1,CP13 UNFCC
línea,1,CP13 UNFCC
región,4,CP13 UNFCC
periódico,4,CP13 UNFCC
recomendado,7,CP13 UNFCC
respecto,5,CP13 UNFCC
ent,13,CP13 UNFCC
ultimado,1,CP13 UNFCC
principal,14,CP13 UNFCC
fcccsbstainf,3,CP13 UNFCC
partir,3,CP13 UNFCC
todavía,1,CP13 UNFCC
terminado,1,CP13 UNFCC
poner,7,CP13 UNFCC
incorporar,3,CP13 UNFCC
ttclear,11,CP13 UNFCC
actualizado,2,CP13 UNFCC
osact,14,CP13 UNFCC
fmam,7,CP13 UNFCC
organismo,10,CP13 UNFCC
refuercir,2,CP13 UNFCC
pnud,3,CP13 UNFCC
pnumo,3,CP13 UNFCC
actualizar,2,CP13 UNFCC
indicado,4,CP13 UNFCC
preparado,4,CP13 UNFCC
difundar,1,CP13 UNFCC
ampliamente,3,CP13 UNFCC
conducto,6,CP13 UNFCC
idioma,3,CP13 UNFCC
conexa,4,CP13 UNFCC
difundirlo,1,CP13 UNFCC
plano,4,CP13 UNFCC
red,14,CP13 UNFCC
centro,8,CP13 UNFCC
organizado,1,CP13 UNFCC
caso,5,CP13 UNFCC
g,11,CP13 UNFCC
actualización,2,CP13 UNFCC
periódica,1,CP13 UNFCC
posterior,3,CP13 UNFCC
h,5,CP13 UNFCC
cooperar,4,CP13 UNFCC
consultivo,2,CP13 UNFCC
coordinar,2,CP13 UNFCC
agente,8,CP13 UNFCC
actuación,1,CP13 UNFCC
seleccionada,1,CP13 UNFCC
ultimar,3,CP13 UNFCC
tal,5,CP13 UNFCC
describir,1,CP13 UNFCC
desarrollar,7,CP13 UNFCC
encuesta,2,CP13 UNFCC
cliente,1,CP13 UNFCC
divulgación,6,CP13 UNFCC
número,3,CP13 UNFCC
intercambio,13,CP13 UNFCC
participar,7,CP13 UNFCC
experimental,3,CP13 UNFCC
intercambiar,5,CP13 UNFCC
satisfacer,1,CP13 UNFCC
vínculo,2,CP13 UNFCC
proveedor,2,CP13 UNFCC
capacitación,13,CP13 UNFCC
estudio,5,CP13 UNFCC
ter,5,CP13 UNFCC
abarcar,2,CP13 UNFCC
comercial,2,CP13 UNFCC
endógena,7,CP13 UNFCC
empuje,1,CP13 UNFCC
demanda,1,CP13 UNFCC
consideración,1,CP13 UNFCC
evitar,3,CP13 UNFCC
derecho,2,CP13 UNFCC
propiedad,1,CP13 UNFCC
intelectual,1,CP13 UNFCC
ausencia,1,CP13 UNFCC
limitar,1,CP13 UNFCC
existir,1,CP13 UNFCC
estrechar,1,CP13 UNFCC
pública,2,CP13 UNFCC
dedicado,1,CP13 UNFCC
creado,1,CP13 UNFCC
cumbre,1,CP13 UNFCC
ocho,3,CP13 UNFCC
alianza,2,CP13 UNFCC
fuente,13,CP13 UNFCC
coalición,1,CP13 UNFCC
johannesburgo,1,CP13 UNFCC
promoción,5,CP13 UNFCC
retención,1,CP13 UNFCC
agencia,4,CP13 UNFCC
integrar,3,CP13 UNFCC
interacción,1,CP13 UNFCC
enumerar,2,CP13 UNFCC
sección,4,CP13 UNFCC
específicamente,3,CP13 UNFCC
contengar,1,CP13 UNFCC
procedente,5,CP13 UNFCC
autoevaluación,1,CP13 UNFCC
éxito,1,CP13 UNFCC
intensificar,6,CP13 UNFCC
aprendizaje,2,CP13 UNFCC
feria,1,CP13 UNFCC
coincidencia,2,CP13 UNFCC
acto,1,CP13 UNFCC
paralelo,1,CP13 UNFCC
beca,1,CP13 UNFCC
seminario,1,CP13 UNFCC
financiar,2,CP13 UNFCC
ofrecer,7,CP13 UNFCC
autor,2,CP13 UNFCC
transformar,1,CP13 UNFCC
idea,1,CP13 UNFCC
propuesta,10,CP13 UNFCC
cumplir,9,CP13 UNFCC
difundir,4,CP13 UNFCC
profesional,1,CP13 UNFCC
distancia,2,CP13 UNFCC
empleo,1,CP13 UNFCC
promuevo,2,CP13 UNFCC
buen,1,CP13 UNFCC
emergente,2,CP13 UNFCC
participado,1,CP13 UNFCC
inversor,2,CP13 UNFCC
socialmente,1,CP13 UNFCC
responsable,2,CP13 UNFCC
triple,1,CP13 UNFCC
subsidio,1,CP13 UNFCC
selectivo,1,CP13 UNFCC
impulsar,3,CP13 UNFCC
cofinanciación,1,CP13 UNFCC
